feature,feature_index
angle NOSE-BASE_NECK-RIGHT_FRONT_PAW,feature_0
angle NOSE-BASE_NECK-LEFT_FRONT_PAW,feature_1
angle RIGHT_FRONT_PAW-BASE_NECK-CENTER_SPINE,feature_2
angle LEFT_FRONT_PAW-BASE_NECK-CENTER_SPINE,feature_3
angle BASE_NECK-CENTER_SPINE-BASE_TAIL,feature_4
angle RIGHT_REAR_PAW-BASE_TAIL-CENTER_SPINE,feature_5
angle LEFT_REAR_PAW-BASE_TAIL-CENTER_SPINE,feature_6
angle RIGHT_REAR_PAW-BASE_TAIL-MID_TAIL,feature_7
angle LEFT_REAR_PAW-BASE_TAIL-MID_TAIL,feature_8
angle CENTER_SPINE-BASE_TAIL-MID_TAIL,feature_9
angle BASE_TAIL-MID_TAIL-TIP_TAIL,feature_10
angular_velocity,feature_11
base tail velocity direction,feature_12
base tail velocity magnitude,feature_13
bearing to corner,feature_14
centroid_velocity_dir,feature_15
centroid_velocity_mag,feature_16
distance to corner,feature_17
distance to lixit,feature_18
left front paw velocity direction,feature_19
left front paw velocity magnitude,feature_20
nose velocity direction,feature_21
nose velocity magnitude,feature_22
NOSE-LEFT_EAR,feature_23
NOSE-RIGHT_EAR,feature_24
NOSE-BASE_NECK,feature_25
NOSE-LEFT_FRONT_PAW,feature_26
NOSE-RIGHT_FRONT_PAW,feature_27
NOSE-CENTER_SPINE,feature_28
NOSE-LEFT_REAR_PAW,feature_29
NOSE-RIGHT_REAR_PAW,feature_30
NOSE-BASE_TAIL,feature_31
NOSE-MID_TAIL,feature_32
NOSE-TIP_TAIL,feature_33
LEFT_EAR-RIGHT_EAR,feature_34
LEFT_EAR-BASE_NECK,feature_35
LEFT_EAR-LEFT_FRONT_PAW,feature_36
LEFT_EAR-RIGHT_FRONT_PAW,feature_37
LEFT_EAR-CENTER_SPINE,feature_38
LEFT_EAR-LEFT_REAR_PAW,feature_39
LEFT_EAR-RIGHT_REAR_PAW,feature_40
LEFT_EAR-BASE_TAIL,feature_41
LEFT_EAR-MID_TAIL,feature_42
LEFT_EAR-TIP_TAIL,feature_43
RIGHT_EAR-BASE_NECK,feature_44
RIGHT_EAR-LEFT_FRONT_PAW,feature_45
RIGHT_EAR-RIGHT_FRONT_PAW,feature_46
RIGHT_EAR-CENTER_SPINE,feature_47
RIGHT_EAR-LEFT_REAR_PAW,feature_48
RIGHT_EAR-RIGHT_REAR_PAW,feature_49
RIGHT_EAR-BASE_TAIL,feature_50
RIGHT_EAR-MID_TAIL,feature_51
RIGHT_EAR-TIP_TAIL,feature_52
BASE_NECK-LEFT_FRONT_PAW,feature_53
BASE_NECK-RIGHT_FRONT_PAW,feature_54
BASE_NECK-CENTER_SPINE,feature_55
BASE_NECK-LEFT_REAR_PAW,feature_56
BASE_NECK-RIGHT_REAR_PAW,feature_57
BASE_NECK-BASE_TAIL,feature_58
BASE_NECK-MID_TAIL,feature_59
BASE_NECK-TIP_TAIL,feature_60
LEFT_FRONT_PAW-RIGHT_FRONT_PAW,feature_61
LEFT_FRONT_PAW-CENTER_SPINE,feature_62
LEFT_FRONT_PAW-LEFT_REAR_PAW,feature_63
LEFT_FRONT_PAW-RIGHT_REAR_PAW,feature_64
LEFT_FRONT_PAW-BASE_TAIL,feature_65
LEFT_FRONT_PAW-MID_TAIL,feature_66
LEFT_FRONT_PAW-TIP_TAIL,feature_67
RIGHT_FRONT_PAW-CENTER_SPINE,feature_68
RIGHT_FRONT_PAW-LEFT_REAR_PAW,feature_69
RIGHT_FRONT_PAW-RIGHT_REAR_PAW,feature_70
RIGHT_FRONT_PAW-BASE_TAIL,feature_71
RIGHT_FRONT_PAW-MID_TAIL,feature_72
RIGHT_FRONT_PAW-TIP_TAIL,feature_73
CENTER_SPINE-LEFT_REAR_PAW,feature_74
CENTER_SPINE-RIGHT_REAR_PAW,feature_75
CENTER_SPINE-BASE_TAIL,feature_76
CENTER_SPINE-MID_TAIL,feature_77
CENTER_SPINE-TIP_TAIL,feature_78
LEFT_REAR_PAW-RIGHT_REAR_PAW,feature_79
LEFT_REAR_PAW-BASE_TAIL,feature_80
LEFT_REAR_PAW-MID_TAIL,feature_81
LEFT_REAR_PAW-TIP_TAIL,feature_82
RIGHT_REAR_PAW-BASE_TAIL,feature_83
RIGHT_REAR_PAW-MID_TAIL,feature_84
RIGHT_REAR_PAW-TIP_TAIL,feature_85
BASE_TAIL-MID_TAIL,feature_86
BASE_TAIL-TIP_TAIL,feature_87
MID_TAIL-TIP_TAIL,feature_88
NOSE point mask,feature_89
LEFT_EAR point mask,feature_90
RIGHT_EAR point mask,feature_91
BASE_NECK point mask,feature_92
LEFT_FRONT_PAW point mask,feature_93
RIGHT_FRONT_PAW point mask,feature_94
CENTER_SPINE point mask,feature_95
LEFT_REAR_PAW point mask,feature_96
RIGHT_REAR_PAW point mask,feature_97
BASE_TAIL point mask,feature_98
MID_TAIL point mask,feature_99
TIP_TAIL point mask,feature_100
NOSE speed,feature_101
LEFT_EAR speed,feature_102
RIGHT_EAR speed,feature_103
BASE_NECK speed,feature_104
LEFT_FRONT_PAW speed,feature_105
RIGHT_FRONT_PAW speed,feature_106
CENTER_SPINE speed,feature_107
LEFT_REAR_PAW speed,feature_108
RIGHT_REAR_PAW speed,feature_109
BASE_TAIL speed,feature_110
MID_TAIL speed,feature_111
TIP_TAIL speed,feature_112
right front paw velocity direction,feature_113
right front paw velocity magnitude,feature_114
mean angle BASE_NECK-CENTER_SPINE-BASE_TAIL,feature_115
std_dev angle BASE_NECK-CENTER_SPINE-BASE_TAIL,feature_116
mean angle BASE_TAIL-MID_TAIL-TIP_TAIL,feature_117
std_dev angle BASE_TAIL-MID_TAIL-TIP_TAIL,feature_118
mean angle CENTER_SPINE-BASE_TAIL-MID_TAIL,feature_119
std_dev angle CENTER_SPINE-BASE_TAIL-MID_TAIL,feature_120
mean angle LEFT_FRONT_PAW-BASE_NECK-CENTER_SPINE,feature_121
std_dev angle LEFT_FRONT_PAW-BASE_NECK-CENTER_SPINE,feature_122
mean angle LEFT_REAR_PAW-BASE_TAIL-CENTER_SPINE,feature_123
std_dev angle LEFT_REAR_PAW-BASE_TAIL-CENTER_SPINE,feature_124
mean angle LEFT_REAR_PAW-BASE_TAIL-MID_TAIL,feature_125
std_dev angle LEFT_REAR_PAW-BASE_TAIL-MID_TAIL,feature_126
mean angle NOSE-BASE_NECK-LEFT_FRONT_PAW,feature_127
std_dev angle NOSE-BASE_NECK-LEFT_FRONT_PAW,feature_128
mean angle NOSE-BASE_NECK-RIGHT_FRONT_PAW,feature_129
std_dev angle NOSE-BASE_NECK-RIGHT_FRONT_PAW,feature_130
mean angle RIGHT_FRONT_PAW-BASE_NECK-CENTER_SPINE,feature_131
